날짜,총자산
2025-06-24,133468.30502867015
2025-06-25,133443.92807850154
2025-06-26,133856.6722869328
2025-06-27,133722.54769830703
2025-06-30,133712.53332009996
2025-07-01,132572.63348962239
2025-07-02,137367.15403558186
2025-07-03,137341.50942361014
2025-07-07,136318.9934108053
2025-07-08,138313.99558518274
2025-07-09,138501.09965523312
2025-07-10,139489.30707687652
2025-07-11,139377.2129714966
2025-07-14,137764.17148452488
2025-07-15,139905.66499358587
2025-07-16,139001.09505660195
2025-07-17,140196.6211202894
2025-07-18,140215.6823764665
2025-07-21,140899.6730588368
2025-07-22,136021.54194936753
2025-07-23,133759.37695966449
2025-07-24,132951.18869458608
2025-07-25,132839.67707860132
2025-07-28,139207.6993508339
2025-07-29,139604.74303114758
2025-07-30,141218.62217975344
2025-07-31,135758.89857376646
2025-08-01,133202.78853703907
2025-08-04,136508.7777587346
2025-08-05,134775.68868949072
2025-08-06,132462.13448276522
2025-08-07,136920.05444100243
2025-08-08,139531.41933980671
2025-08-11,139219.07194724766
2025-08-12,146310.20013633458
2025-08-13,146310.20013633458
2025-08-14,146283.20779672352
2025-08-15,144965.14647784916
2025-08-18,145176.9043575832
2025-08-19,143440.66058746068
2025-08-20,142535.86654535023
2025-08-21,141280.43762508122
2025-08-22,148689.23897090642
2025-08-25,148478.99968915668
2025-08-26,149787.05606170383
2025-08-27,150103.469276292
2025-08-28,150560.73358607973
2025-08-29,147204.6379105159
2025-09-02,145523.09927802766
2025-09-03,144527.61201806748
2025-09-04,147262.72417484008
2025-09-05,149585.92749820434
2025-09-08,150423.98961950027
2025-09-09,150610.49382949554
2025-09-10,154644.71404624663
2025-09-11,155396.82687211715
2025-09-12,155558.70839763366
2025-09-15,156981.33313680373
2025-09-16,157295.13570190154
2025-09-17,157268.65827203475
2025-09-18,161516.45837426864
2025-09-19,161488.14184070312
2025-09-22,162359.5217464038
2025-09-23,162340.98446069442
2025-09-24,162266.24907775605
2025-09-25,161801.35844808305
2025-09-26,162097.91565242494
2025-09-29,162075.03912950243
2025-09-30,164097.80164848056
2025-10-01,165336.0619290897
2025-10-02,165336.0619290897
2025-10-03,165319.1948628017
2025-10-06,167264.5146069118
2025-10-07,167232.64971919742
2025-10-08,169456.49800105777
2025-10-09,169443.6629519054
2025-10-10,165251.15510459628
2025-10-13,170955.16545768466
2025-10-14,169629.94104619708
2025-10-15,173365.1893448421
2025-10-16,173644.8833407947
2025-10-17,173333.23920961109
2025-10-20,176453.2404303142
2025-10-21,176037.62694640842
2025-10-22,172685.78690000263
2025-10-23,177303.36487241474
2025-10-24,179405.35617490497
2025-10-27,179405.35617490497
2025-10-28,179401.45490642276
2025-10-29,180577.57587047305
2025-10-30,180545.70475335803
2025-10-31,180697.89305396762
2025-11-03,181037.05454488483
2025-11-04,178307.20200954165
2025-11-05,182389.59463725772
2025-11-06,180564.19117952074
2025-11-07,179270.18460288728
2025-11-10,184319.14053550447
2025-11-11,182827.73147016251
2025-11-12,184777.12912183488
2025-11-13,182665.76994510376
2025-11-14,182257.99875817978
2025-11-17,178881.40719009124
2025-11-18,173164.47846379958
2025-11-19,177978.38028875075
2025-11-20,166160.37693553648
2025-11-21,168965.00301118573
2025-11-24,181549.11626573285
2025-11-25,182256.15564094266
2025-11-26,191180.2569936343
2025-11-28,193380.66666923245
2025-12-01,193368.83508039196
2025-12-02,195975.86284375866
2025-12-03,197279.6840603419
2025-12-04,196592.43558345517
2025-12-05,197940.3482775279
2025-12-08,199403.66338020048
2025-12-09,199159.92564168654
2025-12-10,201957.79987216674
2025-12-11,201513.7225721904
2025-12-12,194299.4526986667
2025-12-15,193439.97739606583
2025-12-16,191887.64402690614
2025-12-17,179145.800727708
2025-12-18,188266.74318299975
2025-12-19,197193.76144777026
2025-12-22,199809.46290260044
2025-12-23,200029.19220853536
2025-12-24,200617.36715121954
2025-12-26,200609.86405435295
2025-12-29,199693.19272170754
2025-12-30,199246.17466359827
2025-12-31,193538.87347865792
2026-01-02,214821.73532176705
2026-01-05,214801.3814529147
2026-01-06,217263.43996274137
2026-01-07,217252.36590956285
2026-01-08,215927.02248535163
2026-01-09,220196.92172775275
2026-01-12,220180.43793794094
2026-01-13,220806.0324562346
2026-01-14,220164.5997032575
2026-01-15,223811.66704946253
2026-01-16,224928.32176329757
2026-01-20,223595.4859909876
2026-01-21,228769.84684609013
2026-01-22,228741.25288743983
2026-01-23,227792.25651637497
2026-01-26,226988.86440098638
2026-01-27,232705.78214848394
2026-01-28,234937.33095372075
2026-01-29,234885.2469438009
2026-01-30,231470.92274528244
2026-02-02,234342.13940482834
2026-02-03,232720.12509209782
2026-02-04,225753.24633081994
2026-02-05,225823.89209041608
2026-02-06,242381.89209041608
