매수일,모드,매수가,수량,목표가,손절기한
2026-01-29,Offense,70.47000122070312,210,72.58410125732422,2026-02-08
2026-02-03,Offense,61.20000076293945,251,63.03600078582764,2026-02-13
2026-02-04,Offense,53.189998626708984,289,54.785698585510254,2026-02-14
